Sub,City,Accommodation Name,Payment Method - NSFAS,Payment Method - Bursary,Payment Method - Cash,Monthly Pay
salt river,cape town,Salt River House,No,Yes,Yes,6000
Hatfield,Pretoria,Commune on Prospect,No,No,Yes,4950
New Doornfontein,Johannesburg,Aspire student living (DFC),Yes,Yes,Yes,5200
New Doornfontein,Johannesburg,Miller Student Living,Yes,Yes,Yes,5200
Hillbrow,Johannesburg,Rahima Moosa Residence,Yes,Yes,Yes,5200
Naturena,Soweto,Naturena Student Residence,Yes,Yes,Yes,5200
Johannesburg CBD,Johannesburg,Rissik Street Residence,Yes,Yes,Yes,5200
west acres,Mbombela,Silver Oak Residence,Yes,Yes,Yes,3900
Manor Gardens,Durban,Khayalethu Slatsha Residence,No,Yes,Yes,4850
Manor Gardens,Durban,Itai On Rif Residence,No,Yes,Yes,4850
Arcadia,Pretoria,Sentinel (Arcadia Str),Yes,Yes,Yes,5230
Diepkloof zone 6,Johannesburg,Kwa Pretty,Yes,Yes,Yes,5200
Auckland park,Johannesburg,Student Accommodation Auckland Park,No,Yes,Yes,4500
PowerPark,Soweto,Power Park Digz,Yes,Yes,Yes,5200
Doornfontein,Johannesburg,Buxton House,Yes,Yes,Yes,5200
Molatlhwa,Mahikeng,Crown Villa Student Residence,Yes,Yes,Yes,4770
Jan Holfmeyer,Johannesburg,Gousblom Residence,Yes,Yes,No,4500
Melville,Johannesburg,LADY HOUSE SHARE MELVILLE,No,No,Yes,4100
Pretoria West,Pretoria,Frederick Street Student Accommodation,Yes,Yes,Yes,5200
Doornfontein,Johannesburg,Ellis Park Student Village,Yes,Yes,Yes,5200
Vanderbijlpark S. E. 7,Vanderbijlpark,Nexgen Accommodation,Yes,No,No,4700
Pretoria Gardens,Pretoria,Haborona Junction,Yes,Yes,Yes,5200
Braamfontein,Johannesburg,Thutong Junction,Yes,Yes,Yes,5200
Johannesburg CBD,Johannesburg,Fedsure House,Yes,Yes,Yes,5200
Hillbrow,Johannesburg,Cape York,Yes,Yes,Yes,5200
Hillcrest,Pretoria,Hillcrest,Yes,Yes,Yes,4917
Parktown,Johannesburg,The Albany,Yes,Yes,Yes,5834
Parktown,Johannesburg,St Davids Place,Yes,Yes,Yes,5334
Parktown,Johannesburg,Girton Rd,Yes,Yes,Yes,4167
Tladi,Soweto,Cecilia's Accommodation,Yes,Yes,No,5200
Meadowlands,Johannesburg,PMSR Chiloane Projects,Yes,Yes,Yes,5500
Crosby,Johannesburg,St Grace Estates (Crosby),Yes,Yes,No,5200
Westdene,Johannesburg,St Grace Estates (4th Avenue),Yes,Yes,No,5200
Westdene,Johannesburg,St Grace Estates (Stafford Street),Yes,Yes,No,5200
Auckland Park,Johannesburg,Home away from home,No,Yes,Yes,2800
Pimville,Johannesburg,Pimville Student Village,Yes,Yes,No,5200
Brixton,Johannesburg,The Diep Residence,No,Yes,Yes,4000
Brixton,Johannesburg,Res@Kew,No,Yes,Yes,4000
Diepkloof,Soweto,Tafari Student Accommodation,Yes,No,Yes,5000
Riebeeckstad,Welkom,Batloung Royalty,Yes,Yes,Yes,4500
Bellville Lot 5,Cape Town,20A on Railway,No,Yes,Yes,5500
Richmond Hill,Port Elizabeth,Richmond Hill,Yes,Yes,Yes,2500
West acres,Nelspruit,Kitso Hospitality,Yes,Yes,Yes,3500
Willows,Bloemfontein,ISS LINDERHOF,Yes,Yes,Yes,4940
New Doornfontein,Johannesburg,Quintal,Yes,Yes,Yes,5200
New Park,Kimberly,Units on Birbeck,Yes,Yes,Yes,5460
Foreshore,Cape Town,Units on Cape Station,No,Yes,Yes,10000
Braamfontein,Johannesburg,Units on Jorissen,Yes,Yes,Yes,5900
New Doornfontein,Johannesburg,Miller Street,Yes,Yes,Yes,5200
Hatfield,Pretoria,Units on Park,Yes,Yes,Yes,5500
Soweto,Johannesburg,OPAL STUDENTS,Yes,Yes,Yes,5200
Protea North,Soweto,GTL Residence,Yes,Yes,Yes,5000
Ngovhela,Thohoyandou A,Hillside Residence,Yes,Yes,Yes,4000
Vrededorp,Johannesburg,Nossi Res,No,No,Yes,2400
Riviera,Pretoria,@NinetyNine,No,No,Yes,3850
Reservoir Hills,Durban,Dolphin Res.,Yes,Yes,Yes,4750
Braamfontein,Johannesburg,18 Jorissen Street Student Accommodation,Yes,Yes,Yes,5500
Westdene,Auckland Park,Elimu Student House,No,Yes,Yes,3800
Lorentzville,Johannesburg,Pendlebury Residence,Yes,Yes,Yes,4500
Hursthill,Johannesburg,KROB student accomodation,No,Yes,Yes,2500
Scottsville,Pietermaritzburg,Student res,Yes,No,No,3000
Willows,Bloemfontein,Noalhof,Yes,Yes,Yes,3200
Brixton,Johannesburg,31 Fulham,No,No,Yes,3000
Mataffin,Mbombela,Hubyana Center,Yes,Yes,Yes,3700
Westdene,Johannesburg,Perth Residence,No,No,Yes,2750
Cnr Nicholas and Second Street,Johannesburg,Buchulenathi Living,No,Yes,Yes,4000
Westdene,Johannesburg,Tenby westdene,No,No,Yes,2500
Carrington Heights,Durban,Tiny House Student Accomodation,Yes,Yes,Yes,2500
Power park,Soweto,The Chairman residence,Yes,Yes,Yes,3500
Auckland Park,Johannesburg,The Loop,No,Yes,Yes,4500
New Doornfontein,Johannesburg,Kelvin House Student Accommodation,Yes,Yes,Yes,4800
Mattafin,Mbombela,MoonHouse residence,Yes,Yes,Yes,3800
Brixton,Johannesburg,Stone-Leaf Properties,No,No,Yes,3800
Universitas,Bloemfontein,Gaedotcom student complex,Yes,Yes,Yes,4239
Westdene,Johannesburg,"PESCANOVA TRADING (26a Banbury Road, Westdene)",Yes,Yes,No,5200
Brixton,Johannesburg,Pescanova Trading 103,Yes,Yes,No,5200
Brixton,Johannesburg,Pescanova 101,Yes,Yes,No,5200
Brixton,Johannesburg,PESCANOVA TRADING (152 Caroline Street),Yes,Yes,No,5200
